experience_months,matching_skill_count,matching_skill_percent,experience_score,resume_score,role_similarity_score,shortlisted
31,5.0,22.73,22.14,22.55,44.610008239746094,1
30,1.0,4.35,21.43,9.47,33.73612594604492,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
384,5.0,50.0,100.0,65.0,38.810829162597656,1
10,3.0,42.86,7.14,32.14,21.064529418945312,1
0,1.0,11.11,0.0,7.78,50.27640914916992,0
0,11.0,50.0,0.0,35.0,52.63520050048828,0
240,2.0,28.57,100.0,50.0,29.5466423034668,1
30,1.0,11.11,21.43,14.21,37.28743362426758,1
197,7.0,70.0,100.0,79.0,43.84996032714844,1
90,7.0,50.0,64.29,54.29,32.31297302246094,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
0,9.0,39.13,0.0,27.39,61.7741813659668,0
76,2.0,18.18,54.29,29.01,20.30009078979492,1
0,10.0,43.48,0.0,30.43,58.89906311035156,0
96,14.0,35.9,68.57,45.7,41.28313064575195,1
12,1.0,20.0,8.57,16.57,30.069589614868164,1
114,4.0,17.39,81.43,36.6,67.05879211425781,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
30,6.0,33.33,21.43,29.76,33.54349899291992,1
18,6.0,75.0,12.86,56.36,39.063568115234375,1
60,7.0,17.95,42.86,25.42,49.024295806884766,1
0,1.0,11.11,0.0,7.78,50.27640914916992,0
0,3.0,30.0,0.0,21.0,47.65704727172852,0
123,8.0,44.44,87.86,57.47,54.93272399902344,1
0,5.0,21.74,0.0,15.22,48.504512786865234,0
0,2.0,10.0,0.0,7.0,51.4669075012207,0
72,2.0,40.0,51.43,43.43,35.17287826538086,1
72,10.0,38.46,51.43,42.35,52.733177185058594,1
24,5.0,62.5,17.14,48.89,46.906246185302734,1
48,3.0,14.29,34.29,20.29,50.63600540161133,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
18,4.0,28.57,12.86,23.86,32.314083099365234,1
30,1.0,4.35,21.43,9.47,33.73612594604492,1
18,4.0,28.57,12.86,23.86,32.314083099365234,1
0,2.0,11.11,0.0,7.78,52.57575607299805,0
60,7.0,17.95,42.86,25.42,49.024295806884766,1
0,4.0,80.0,0.0,56.0,24.43619728088379,0
72,21.0,53.85,51.43,53.12,51.2411003112793,1
83,9.0,50.0,59.29,52.79,46.09029769897461,1
216,5.0,50.0,100.0,65.0,46.506629943847656,1
98,4.0,17.39,70.0,33.17,53.72257995605469,1
300,16.0,42.11,100.0,59.47,48.15973281860352,1
